IATA,LAT,LON,CITY,STATE,AIRPT_NAME,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
A61,60.335346,-162.667009,TUNTUTULIAK,AK,TUNTUTULIAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SHH,66.249567,-166.089346,SHISHMAREF,AK,SHISHMAREF AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SMK,63.490056,-162.110389,ST MICHAEL,AK,ST MICHAEL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TAL,65.174395,-152.109389,TANANA,AK,RALPH M CALHOUN MEMORIAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
0AK,61.934556,-162.899556,PILOT STATION,AK,PILOT STATION AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SCM,61.844541,-165.573749,SCAMMON BAY,AK,SCAMMON BAY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
ORS,48.708335,-122.9106,EASTSOUND,WA,ORCAS ISLAND AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SVA,63.686394,-170.492636,SAVOONGA,AK,SAVOONGA AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WYS,44.688389,-111.117639,WEST YELLOWSTONE,MT,YELLOWSTONE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
MGN,45.425565,-84.913384,HARBOR SPRINGS,MI,HARBOR SPRINGS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SLK,44.385306,-74.206194,SARANAC LAKE,NY,ADIRONDACK REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SDP,55.313694,-160.521417,SAND POINT,AK,SAND POINT AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VAK,61.540845,-165.60089,CHEVAK,AK,CHEVAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TBN,37.741631,-92.140736,FORT LEONARD WOOD,MO,WAYNESVILLE-ST. ROBERT REGIONAL FORNEY FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SLN,38.790966,-97.65217,SALINA,KS,SALINA MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SOW,34.265472,-110.005667,SHOW LOW,AZ,SHOW LOW REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VEL,40.440917,-109.509917,VERNAL,UT,VERNAL REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
HUM,29.5665,-90.660417,HOUMA,LA,HOUMA-TERREBONNE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WTK,67.561072,-162.980353,NOATAK,AK,NOATAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WLK,66.600139,-159.98575,SELAWIK,AK,SELAWIK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
D76,66.817528,-161.02225,NOORVIK,AK,ROBERT/BOB/CURTIS MEMORIAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
EIL,64.665667,-147.1015,FAIRBANKS,AK,EIELSON AIR FORCE BASE,0,2,8,13,22,8,19,10,11,14,26
SOV,59.442439,-151.70405,SELDOVIA,AK,SELDOVIA AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SHD,38.263833,-78.896444,STAUNTON/WAYNESBORO/HARRISONBURG,VA,SHENANDOAH VALLEY REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VCT,28.852556,-96.918487,VICTORIA,TX,VICTORIA REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
LBX,29.108639,-95.462083,ANGLETON/LAKE JACKSON,TX,BRAZORIA COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
PMD,34.629389,-118.084553,PALMDALE,CA,PALMDALE REGIONAL/USAF PLANT 42 AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SVN,32.01002,-81.145988,SAVANNAH,GA,HUNTER ARMY AIRFIELD,0,0,0,0,0,0,0,0,0,0,0
WRG,56.484333,-132.369833,WRANGELL,AK,WRANGELL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VOK,43.939237,-90.253163,CAMP DOUGLAS,WI,VOLK FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SGY,59.460062,-135.315664,SKAGWAY,AK,SKAGWAY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
YAK,59.503306,-139.66025,YAKUTAT,AK,YAKUTAT AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WST,41.349617,-71.803378,WESTERLY,RI,WESTERLY STATE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UNK,63.888496,-160.799111,UNALAKLEET,AK,UNALAKLEET AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TEB,40.850101,-74.060836,TETERBORO,NJ,TETERBORO AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TCM,47.137678,-122.476475,TACOMA,WA,MCCHORD AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
TEX,37.953759,-107.90848,TELLURIDE,CO,TELLURIDE REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
LSF,32.33179,-84.987159,FORT BENNING(COLUMBUS),GA,LAWSON ARMY AIRFIELD (FORT BENNING),0,0,0,0,0,0,0,0,0,0,0
FHR,48.521972,-123.024361,FRIDAY HARBOR,WA,FRIDAY HARBOR AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SIG,18.456827,-66.098139,SAN JUAN,PR,FERNANDO LUIS RIBAS DOMINICCI AIRPORT,0,0,0,0,0,0,0,0,0,0,0
GTB,44.055667,-75.7195,FORT DRUM,NY,WHEELER-SACK ARMY AIRFIELD,0,0,0,0,0,0,0,0,0,0,0
VDZ,61.13395,-146.24834,VALDEZ,AK,VALDEZ AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TUP,34.268108,-88.769895,TUPELO,MS,TUPELO REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
6Y8,45.721162,-85.520344,BEAVER ISLAND,MI,WELKE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SHR,44.769194,-106.980278,SHERIDAN,WY,SHERIDAN COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
YNG,41.260736,-80.679097,YOUNGSTOWN/WARREN,OH,YOUNGSTOWN-WARREN REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CVX,45.304778,-85.275333,CHARLEVOIX,MI,CHARLEVOIX MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SGJ,29.95925,-81.339722,ST AUGUSTINE,FL,ST AUGUSTINE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
STC,45.546556,-94.059889,ST CLOUD,MN,ST CLOUD REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WRI,40.015582,-74.591708,WRIGHTSTOWN,NJ,MC GUIRE AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
VQS,18.134811,-65.493617,ISLA DE VIEQUES,PR,ANTONIO RIVERA RODRIGUEZ AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TWF,42.481806,-114.48775,TWIN FALLS,ID,JOSLIN FIELD - MAGIC VALLEY REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TXK,33.453722,-93.991028,TEXARKANA,AR,TEXARKANA REGIONAL-WEBB FIELD,0,0,0,0,0,0,0,0,0,0,0
VCV,34.597472,-117.383,VICTORVILLE,CA,SOUTHERN CALIFORNIA LOGISTICS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CRQ,33.12825,-117.280083,CARLSBAD,CA,MC CLELLAN-PALOMAR AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SCK,37.894167,-121.238306,STOCKTON,CA,STOCKTON METROPOLITAN AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VLD,30.781372,-83.276219,VALDOSTA,GA,VALDOSTA REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SPS,33.988796,-98.491893,WICHITA FALLS,TX,SHEPPARD AIR FORCE BASE/WICHITA FALLS MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SUX,42.402603,-96.384367,SIOUX CITY,IA,SIOUX GATEWAY/COL. BUD DAY FIELD,0,0,0,0,0,0,0,0,0,0,0
SMX,34.898917,-120.457444,SANTA MARIA,CA,SANTA MARIA PUB/CAPT G ALLAN HANCOCK FIELD,0,0,0,0,0,0,0,0,0,0,0
SAW,46.353639,-87.395361,MARQUETTE,MI,SAWYER INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SPI,39.84421,-89.67809,SPRINGFIELD,IL,ABRAHAM LINCOLN CAPITAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SBY,38.340189,-75.50948,SALISBURY,MD,SALISBURY-OCEAN CITY WICOMICO REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UTA,34.685056,-90.347778,TUNICA,MS,TUNICA MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SUN,43.503779,-114.295553,HAILEY,ID,FRIEDMAN MEMORIAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SJT,31.35775,-100.496306,SAN ANGELO,TX,SAN ANGELO REGIONAL/MATHIS FIELD,0,0,0,0,0,0,0,0,0,0,0
VGT,36.210694,-115.194444,LAS VEGAS,NV,NORTH LAS VEGAS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SIT,57.047139,-135.361611,SITKA,AK,SITKA ROCKY GUTIERREZ AIRPORT,0,0,0,0,0,0,0,0,0,0,0
YKM,46.568167,-120.544056,YAKIMA,WA,YAKIMA AIR TERMINAL/MCALLISTER FIELD,0,0,0,0,0,0,0,0,0,0,0
TYR,32.354139,-95.402386,TYLER,TX,TYLER POUNDS REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
HXD,32.224361,-80.697472,HILTON HEAD ISLAND,SC,HILTON HEAD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SCC,70.19475,-148.465167,DEADHORSE,AK,DEADHORSE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
STS,38.508989,-122.812875,SANTA ROSA,CA,CHARLES M. SCHULZ - SONOMA COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TOL,41.586806,-83.807833,TOLEDO,OH,TOLEDO EXPRESS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UNV,40.849278,-77.848694,STATE COLLEGE,PA,UNIVERSITY PARK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SBP,35.237266,-120.642597,SAN LUIS OBISPO,CA,SAN LUIS COUNTY REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
STX,17.701556,-64.801722,CHRISTIANSTED,VI,HENRY E ROHLSEN AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TVC,44.741639,-85.582361,TRAVERSE CITY,MI,CHERRY CAPITAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
GPI,48.310472,-114.256,KALISPELL,MT,GLACIER PARK INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
IWA,33.307833,-111.655472,PHOENIX,AZ,PHOENIX-MESA GATEWAY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TRI,36.475222,-82.407417,BRISTOL/JOHNSON/KINGSPORT,TN,TRI-CITIES REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SHV,32.446611,-93.825611,SHREVEPORT,LA,SHREVEPORT REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VPS,30.483219,-86.526044,VALPARAISO,FL,EGLIN AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
SGF,37.245667,-93.388639,SPRINGFIELD,MO,SPRINGFIELD-BRANSON NATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SWF,41.504111,-74.104833,NEWBURGH,NY,STEWART INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TLH,30.396528,-84.350333,TALLAHASSEE,FL,TALLAHASSEE REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
XNA,36.281869,-94.306811,FAYETTEVILLE/SPRINGDALE/,AR,NORTHWEST ARKANSAS REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
STT,18.337306,-64.973361,CHARLOTTE AMALIE,VI,CYRIL E KING AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SRQ,27.395444,-82.554389,SARASOTA/BRADENTON,FL,SARASOTA/BRADENTON INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TYS,35.810972,-83.994028,KNOXVILLE,TN,MC GHEE TYSON AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SFB,28.776701,-81.235522,ORLANDO,FL,ORLANDO SANFORD INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SYR,43.111187,-76.106311,SYRACUSE,NY,SYRACUSE HANCOCK INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TUL,36.198389,-95.888111,TULSA,OK,TULSA INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SDF,38.174086,-85.736499,LOUISVILLE,KY,LOUISVILLE INTERNATIONAL-STANDIFORD FIELD,0,0,0,0,0,0,0,0,0,0,0
TUS,32.116083,-110.941028,TUCSON,AZ,TUCSON INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SNA,33.675667,-117.868222,SANTA ANA,CA,JOHN WAYNE AIRPORT-ORANGE COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SJU,18.439417,-66.001833,SAN JUAN,PR,LUIS MUNOZ MARIN INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SJC,37.362667,-121.929111,SAN JOSE,CA,NORMAN Y. MINETA SAN JOSE INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SMF,38.695417,-121.590778,SACRAMENTO,CA,SACRAMENTO INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
STL,38.748697,-90.370029,ST LOUIS,MO,LAMBERT-ST LOUIS INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TPA,27.975472,-82.53325,TAMPA,FL,TAMPA INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SLC,40.788388,-111.977773,SALT LAKE CITY,UT,SALT LAKE CITY INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SEA,47.449889,-122.311778,SEATTLE,WA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SFO,37.618972,-122.374889,SAN FRANCISCO,CA,SAN FRANCISCO INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
BKF,39.707894,-104.751975,AURORA,CO,BUCKLEY AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
INS,36.587442,-115.675744,INDIAN SPRINGS,NV,CREECH AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
EDW,34.915449,-117.897993,EDWARDS,CA,EDWARDS AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
VBG,34.733184,-120.569977,LOMPOC,CA,VANDENBERG AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
MXF,32.379384,-86.358588,MONTGOMERY,AL,MAXWELL AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
COF,28.240301,-80.604549,COCOA BEACH,FL,PATRICK AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
N58,39.559611,-119.241444,FERNLEY,NV,TIGER FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
U79,45.379078,-115.19678,CHAMBERLAIN GUARD STATION,ID,CHAMBERLAIN US FOREST SERVICE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
GWR,46.218667,-97.643472,GWINNER,ND,GWINNER-ROGER MELROE FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
MCL,63.732598,-148.910638,MCKINLEY PARK,AK,MC KINLEY NATIONAL PARK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NGP,27.692701,-97.290376,CORPUS CHRISTI,TX,CORPUS CHRISTI NAVAL AIR STATION/TRUAX FIELD,0,0,0,0,0,0,0,0,0,0,0
0.00E+00,35.717659,-108.201596,CROWNPOINT,NM,CROWNPOINT AIRPORT,0,0,0,0,0,0,0,0,0,0,0
MGE,33.915333,-84.516333,MARIETTA,GA,DOBBINS AIR RESERVE BASE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
PCW,41.51627,-82.869487,PORT CLINTON,OH,CARL R KELLER FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
BFK,36.863301,-99.618731,BUFFALO,OK,BUFFALO MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
5G7,40.885444,-83.868639,BLUFFTON,OH,BLUFFTON AIRPORT,0,0,0,0,0,0,0,0,0,0,0
FSO,44.940281,-73.09746,HIGHGATE,VT,FRANKLIN COUNTY STATE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
MNN,40.61625,-83.063472,MARION,OH,MARION MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
LRO,32.897833,-79.782861,MOUNT PLEASANT,SC,MT PLEASANT REGIONAL-FAISON FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
A26,41.1865,-120.954389,ADIN,CA,ADIN AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NFL,39.416586,-118.700981,FALLON,NV,FALLON NAVAL AIR STATION /VAN VOORHIS FIELD/,0,0,0,0,0,0,0,0,0,0,0
16G,41.094056,-83.2125,TIFFIN,OH,SENECA COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
94E,32.76202,-108.20838,SILVER CITY,NM,WHISKEY CREEK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NLC,36.333011,-119.952081,LEMOORE,CA,LEMOORE NAVAL AIR STATION (REEVES FIELD),0,0,0,0,0,0,0,0,0,0,0
LNN,41.684028,-81.38975,WILLOUGHBY,OH,WILLOUGHBY LOST NATION MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SMN,45.123781,-113.881332,SALMON,ID,LEMHI COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SVE,40.375694,-120.572694,SUSANVILLE,CA,SUSANVILLE MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
RKP,28.086222,-97.043694,ROCKPORT,TX,ARANSAS COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
A57,59.199217,-138.451,YAKUTAT,AK,ALSEK RIVER AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CIN,42.046194,-94.789,CARROLL,IA,ARTHUR N NEU AIRPORT,0,0,0,0,0,0,0,0,0,0,0
DUC,34.471306,-97.959861,DUNCAN,OK,HALLIBURTON FIELD AIRPORT,0,0,0,0,0,0,0,0,0,0,0
5Z5,63.541715,-150.993955,KANTISHNA,AK,KANTISHNA AIRPORT,0,0,0,0,0,0,0,0,0,0,0
MPR,38.352444,-97.691306,MC PHERSON,KS,MC PHERSON AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TLA,65.240379,-166.33934,TELLER,AK,TELLER AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WAA,65.622585,-168.094939,WALES,AK,WALES AIRPORT,0,0,0,0,0,0,0,0,0,0,0
PTN,29.709546,-91.338979,PATTERSON,LA,HARRY P WILLIAMS MEMORIAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
0R3,29.975778,-92.084222,ABBEVILLE,LA,ABBEVILLE CHRIS CRUSTA MEMORIAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WWT,60.939139,-164.64125,NEWTOK,AK,NEWTOK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SKK,64.371083,-161.223972,SHAKTOOLIK,AK,SHAKTOOLIK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WOW,61.754189,-150.051739,WILLOW,AK,WILLOW AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CYK,60.149226,-164.285632,CHEFORNAK,AK,CHEFORNAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SGU,37.090583,-113.593056,ST GEORGE,UT,SAINT GEORGE MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
PFN,30.212083,-85.682806,PANAMA CITY,FL,PANAMA CITY-BAY COUNTY INTERNATIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
GFA,47.504683,-111.188586,GREAT FALLS,MT,MALMSTROM AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
LTS,34.656626,-99.279288,ALTUS,OK,ALTUS AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
END,36.341068,-97.907008,ENID,OK,VANCE AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
AYX,35.398707,-86.078495,TULLAHOMA,TN,ARNOLD AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
DLF,29.35995,-100.77759,DEL RIO,TX,LAUGHLIN AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
RND,29.52967,-98.2789,UNIVERSAL CITY,TX,RANDOLPH AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
FEW,41.133037,-104.867469,CHEYENNE,WY,FRANCIS E WARREN AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
RDR,47.953843,-97.390364,GRAND FORKS,ND,GRAND FORKS AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
BAB,39.146108,-121.431376,MARYSVILLE,CA,BEALE AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
LUF,33.536525,-112.369863,GLENDALE,AZ,LUKE AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
CBM,33.638414,-88.450949,COLUMBUS,MS,COLUMBUS AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
BIX,30.407516,-88.922951,BILOXI,MS,KEESLER AIR FORCE BASE,0,0,0,0,0,0,0,0,0,0,0
NONE,29.24133,-95.342552,DANBURY,TX,SALAIKA AVIATION AIRPORT,0,0,0,0,0,0,0,0,0,0,0
DWH,30.062174,-95.550737,HOUSTON,TX,DAVID WAYNE HOOKS MEMORIAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
FHU,31.583465,-110.34156,FORT HUACHUCA,AZ,SIERRA VISTA MUNICIPAL AIRPORT-LIBBY ARMY AIRFIELD,0,1,1,3,5,5,0,48,603,501,14
SDX,34.849106,-111.789031,SEDONA,AZ,SEDONA AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CRE,33.811284,-78.723351,NORTH MYRTLE BEACH,SC,GRAND STRAND AIRPORT,0,0,0,0,0,0,0,0,0,0,0
NONE,36.2597,-113.23132,WHITMORE,AZ,GRAND CANYON BAR TEN AIRSTRIP,0,0,0,0,0,0,0,0,0,0,0
AMK,37.20318,-107.8692,DURANGO,CO,ANIMAS AIR PARK,0,0,0,0,0,0,0,0,0,0,0
GUY,36.678392,-101.506557,GUYMON,OK,GUYMON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
SOP,35.235383,-79.397715,PINEHURST/SOUTHERN PINES,NC,MOORE COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TVL,38.892795,-119.998071,SOUTH LAKE TAHOE,CA,LAKE TAHOE AIRPORT,0,0,0,0,0,0,0,0,0,0,0
MQB,40.517494,-90.656047,MACOMB,IL,MACOMB MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
VYS,41.350607,-89.15308,PERU,IL,ILLINOIS VALLEY REGIONAL AIRPORT-WALTER A DUNCAN FIELD,0,0,0,0,0,0,0,0,0,0,0
NONE,40.948811,-80.857961,SALEM,OH,SALEM AIRPARK INC,0,0,0,0,0,0,0,0,0,0,0
SPW,43.167129,-95.197271,SPENCER,IA,SPENCER MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
UES,43.039049,-88.236885,WAUKESHA,WI,WAUKESHA COUNTY AIRPORT,0,0,0,0,0,0,0,0,0,0,0
BEH,42.12576,-86.428571,BENTON HARBOR,MI,SOUTHWEST MICHIGAN REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
OSH,43.994288,-88.553254,OSHKOSH,WI,WITTMAN REGIONAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0
POU,41.624479,-73.882582,POUGHKEEPSIE,NY,DUTCHESS COUNTY AIRPORT,0,2,0,1,1,1,3,1,0,0,0
NONE,44.305662,-68.912416,ISLESBORO,ME,ISLESBORO AIRPORT,0,0,0,0,0,0,0,0,0,0,0
TIW,47.26793,-122.5781,TACOMA,WA,TACOMA NARROWS AIRPORT,0,0,0,0,0,0,0,0,0,0,0
EII,58.186177,-157.37484,EGEGIK,AK,EGEGIK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WOW,61.753335,-150.054458,WILLOW,AK,WILLOW AIRPORT,0,0,0,0,0,0,0,0,0,0,0
BVK,65.979946,-161.139298,BUCKLAND,AK,BUCKLAND AIRPORT,0,0,0,0,0,0,0,0,0,0,0
CFK,60.157082,-164.285773,CHEFORNAK,AK,CHEFORNAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
ENM,62.780193,-164.490443,EMMONAK,AK,EMMONAK AIRPORT,0,0,0,0,0,0,0,0,0,0,0
WAA,65.61704,-168.094887,WALES,AK,WALES AIRPORT,0,0,0,0,0,0,0,0,0,0,0
